id,file_v1,author_ja,author_reading,author_sex,author_birth,author_death,title_aozora,aozora_person_id,aozora_work_id,aozora_card_url,year_first,year_first_end,year_source,period,period5,ndc,ndc_label,genre_main,genre_sub,form,audience,register_level,narration,first_medium,kana_orthography,completeness,note,tokens,types,ttr_x1000,kanji_ratio,katakana_ratio,bungo_per10k,kogo_per10k,p1_per10k,p3_per10k,gaiji_lost,kana_odoriji,kanji_odoriji,ditto_mark,latin_chars,arabic_digits,style_class,set,source_meta,measure_source,bungo_ratio,ndc_all,shoshutsu,needs_review
JLIT011,坂口安吾_金銭無情.txt,坂口安吾,さかぐち あんご,M,1906,1955,金銭無情,001095,42866,https://www.aozora.gr.jp/cards/001095/card42866.html,1947,1947,card,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,cycle,general,canonical,third,magazine,新字旧仮名,complete,「金銭無情」「失恋難」「夜の王様」「王様失脚」4篇の連作。v1 の 'Experimental?' を改める,45849,5733,125.04,0.276,0.0759,31.4,113.9,57.1,27.5,0,0,84,0,8,0,B_過渡的文体,core,aozora_card,rebuilt:tokens_surface,0.216,,金銭無情「別冊文藝春秋　第二巻第三号」文藝春秋新社、1947（昭和22）年6月1日 失恋難「月刊読売　第五巻第八号」1947（昭和22）年8月1日 夜の王様「サロン　第二巻第八号」1947（昭和22）年9月1日 王様失脚「サロン　第二巻第一〇号」1947（昭和22）年11月1日,
JLIT012,壷井栄_二十四の瞳.txt,壺井栄,つぼい さかえ,F,1899,1967,二十四の瞳,001875,57856,https://www.aozora.gr.jp/cards/001875/card57856.html,1952,1952,card,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,middlebrow,third,magazine,新字新仮名,complete,ファイル名の「壷」は正字「壺」,60745,5979,98.43,0.201,0.0239,22.1,212.4,16.1,22.6,0,0,21,0,4,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.094,,「ニューエイジ」1952（昭和27）年2月1日～11月1日,
JLIT013,壷井栄_妻の座.txt,壺井栄,つぼい さかえ,F,1899,1967,妻の座,001875,60071,https://www.aozora.gr.jp/cards/001875/card60071.html,1947,1949,card,6_昭和戦後(1945-),6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,middlebrow,third,magazine,新字新仮名,complete,「新日本文学」1947年8月、1949年2〜4月・7月,47939,5124,106.89,0.2402,0.0257,24.0,214.9,45.9,11.9,0,0,49,0,2,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.1,,「新日本文学」1947（昭和22）年8月、1949（昭和24）年2月～4月、7月,
JLIT014,多喜二_不在地主.txt,小林多喜二,こばやし たきじ,M,1903,1933,不在地主,000156,49181,https://www.aozora.gr.jp/cards/000156/card49181.html,1929,1929,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Proletarian,novella,general,canonical,third,magazine,新字新仮名,complete,「中央公論」1929年11月号ほか。外字欠落27件,37808,4882,129.13,0.3422,0.0413,27.2,176.7,34.6,2.4,0,0,115,0,58,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.133,,一～十一、十六「中央公論」1929（昭和4）年11月号、十二～十五（「戦い」の表題で。）「戦記」1929（昭和4）年12月号,
JLIT015,多喜二_党生活者.txt,小林多喜二,こばやし たきじ,M,1903,1933,党生活者,000156,833,https://www.aozora.gr.jp/cards/000156/card833.html,1933,1933,editor,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Proletarian,novella,general,canonical,first,magazine,新字新仮名,complete,初出は「転換時代」の題で『中央公論』1933年4・5月。カードに初出欄なし,39189,3878,98.96,0.313,0.0349,23.2,222.8,182.2,31.4,0,0,122,0,47,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.094,,,
JLIT016,多喜二_工場細胞.txt,小林多喜二,こばやし たきじ,M,1903,1933,工場細胞,000156,1466,https://www.aozora.gr.jp/cards/000156/card1466.html,1930,1930,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Proletarian,novella,general,canonical,third,magazine,新字新仮名,complete,「改造」1930年4〜6月号。仮名踊り字23件,35608,4468,125.48,0.3237,0.0555,19.1,227.2,42.4,68.5,0,0,104,0,174,13,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.078,,「改造」改造社、1930（昭和5）年4、5、6月号,
JLIT017,多喜二_蟹工船.txt,小林多喜二,こばやし たきじ,M,1903,1933,蟹工船,000156,1465,https://www.aozora.gr.jp/cards/000156/card1465.html,1929,1929,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Proletarian,novella,general,canonical,third,magazine,新字新仮名,complete,「戦旗」1929年5・6月号,34185,4540,132.81,0.3093,0.0607,34.8,200.4,38.0,20.5,0,0,88,0,20,11,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.148,,「戦旗」1929（昭和4）年5月、6月号,
JLIT018,夢野久作_DOGRA.txt,夢野久作,ゆめの きゅうさく,M,1889,1936,ドグラ・マグラ,000096,2093,https://www.aozora.gr.jp/cards/000096/card2093.html,1935,1935,editor,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective,novel,general,middlebrow,first,book,新字新仮名,complete,1935年1月 松柏館書店刊（自費出版）。カードに初出欄なし,241468,16304,67.52,0.3802,0.0492,46.3,237.0,71.9,5.0,0,0,621,0,328,2,B_過渡的文体,core,aozora_card,rebuilt:tokens_surface,0.163,,,
JLIT019,夢野久作_少女地獄.txt,夢野久作,ゆめの きゅうさく,M,1889,1936,少女地獄,000096,935,https://www.aozora.gr.jp/cards/000096/card935.html,1936,1936,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective,collection,general,middlebrow,mixed,book,新字新仮名,complete,「少女地獄」黒白書房1936年3月。3篇の作品集,60500,6567,108.55,0.3461,0.053,37.2,323.6,121.5,44.3,0,0,75,0,24,0,C_口語体,core,aozora_card,rebuilt:tokens_surface,0.103,,「少女地獄」黒白書房、1936（昭和11）年3月,
JLIT020,夢野久作_押絵の奇蹟.txt,夢野久作,ゆめの きゅうさく,M,1889,1936,押絵の奇蹟,000096,930,https://www.aozora.gr.jp/cards/000096/card930.html,1929,1929,card,5_昭和戦前(1926-1944),5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective,novella,general,middlebrow,first,magazine,新字新仮名,complete,「新青年」1929年1月。書簡体,35291,4009,113.6,0.2922,0.0239,92.9,397.3,135.2,0.9,0,0,61,0,0,0,B_過渡的文体,core,aozora_card,rebuilt:tokens_surface,0.19,,「新青年」1929（昭和4）年1月,
