file,tokens,types,ttr_x1000,mean_sent_tokens,kanji_ratio,kata_ratio,bungo_per10k,kogo_per10k,p1_per10k,p3_per10k,gaiji_marker,kana_odoriji,kanji_odoriji,ditto_mark,latin_chars,arabic_digits
福翁_自伝.txt,142443,10429,73.22,46.93,0.4105,0.0216,27.2,25.5,94.7,4.6,7,4,505,0,9,0
綺堂_両国の秋.txt,36707,4368,119.0,19.88,0.2563,0.0002,5.7,34.6,61.0,67.0,0,0,20,0,0,0
綺堂_半七捕物帳.txt,49248,4459,90.54,20.08,0.2815,0.0003,8.3,57.1,39.8,37.4,0,0,132,0,0,0
綺堂_玉藻の前.txt,82938,7759,93.55,19.99,0.2825,0.0001,17.4,57.2,39.3,91.4,0,0,61,0,0,0
綺堂_青蛙堂鬼談.txt,76021,7042,92.63,28.22,0.2653,0.0018,20.5,76.8,56.4,43.9,0,0,97,0,37,0
綺堂_飛騨の怪談.txt,69118,6239,90.27,19.56,0.3656,0.0035,15.5,42.8,23.7,58.5,0,0,230,0,3,0
芥川_偸盗.txt,31541,3868,122.63,21.87,0.2274,0.0,8.6,44.4,73.2,32.3,0,0,49,0,0,0
芥川_文芸的な.txt,31315,3484,111.26,22.32,0.3514,0.0471,9.3,1.0,160.9,17.6,0,0,81,0,102,4
藤村_千曲川.txt,54434,6417,117.89,21.65,0.3603,0.0124,15.6,25.7,83.8,1.3,0,0,209,0,139,0
藤村_夜明け前.txt,502937,22716,45.17,79.97,0.3408,0.0045,22.5,39.5,24.7,32.4,52,0,560,0,0,0
藤村_家.txt,95663,6572,68.7,18.55,0.3323,0.0131,13.0,78.2,65.3,29.8,11,0,147,0,15,0
藤村_新生.txt,217887,10925,50.14,24.18,0.339,0.0109,12.9,33.4,68.0,88.3,0,0,274,0,835,0
藤村_破戒.txt,138602,8468,61.1,23.11,0.3713,0.0014,20.9,36.9,47.3,21.3,0,218,395,0,0,0
鴎外_ヰタ.txt,38708,4620,119.36,16.9,0.3168,0.0015,13.2,10.1,138.2,8.8,0,0,39,0,856,0
鴎外_伊沢蘭軒.txt,336111,24427,72.68,16.23,0.5132,0.0013,82.1,2.1,41.7,3.0,166,0,477,0,0,0
鴎外_大塩平八郎.txt,30555,4558,149.17,20.93,0.4724,0.0002,14.4,11.1,18.0,2.0,0,0,50,0,0,55
鴎外_渋江抽斎.txt,112138,11143,99.37,22.37,0.4221,0.0029,22.5,6.7,26.5,1.8,17,0,116,0,0,0
鴎外_青年.txt,79931,7656,95.78,21.23,0.3091,0.0102,11.5,54.8,33.7,1.6,2,0,114,0,1895,0
