id,author_ja,title_aozora,needs_review
JLIT117,夏目漱石,吾輩は猫である,form audience register_level narration
JLIT118,夏目漱石,それから,form audience register_level narration
JLIT119,夏目漱石,門,form audience register_level narration
JLIT120,夏目漱石,行人,form audience register_level narration
JLIT121,夏目漱石,道草,form audience register_level narration
JLIT122,三宅花圃,藪の鶯,form audience register_level narration
JLIT123,織田作之助,世相,form audience register_level narration
JLIT124,織田作之助,土曜夫人,form audience register_level narration
JLIT125,横光利一,微笑,form audience register_level narration
