id,file_v1,author_ja,author_reading,author_sex,author_birth,author_death,title_aozora,aozora_person_id,aozora_work_id,aozora_card_url,year_first,year_first_end,year_source,period,ndc,ndc_label,genre_main,genre_sub,form,audience,register_level,narration,first_medium,kana_orthography,completeness,note,tokens,types,ttr_x1000,kanji_ratio,katakana_ratio,bungo_per10k,kogo_per10k,p1_per10k,p3_per10k,gaiji_lost,kana_odoriji,kanji_odoriji,ditto_mark,latin_chars,arabic_digits,style_class
JLIT013,壷井栄_妻の座.txt,壺井栄,つぼい さかえ,F,1899,1967,妻の座,001875,60071,https://www.aozora.gr.jp/cards/001875/card60071.html,1947,1949,card,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,middlebrow,third,magazine,新字新仮名,complete,「新日本文学」1947年8月、1949年2〜4月・7月,51377,5523,107.5,0.2232,0.024,21.2,69.1,39.9,11.1,0,0,51,0,2,0,C_口語体
JLIT014,多喜二_不在地主.txt,小林多喜二,こばやし たきじ,M,1903,1933,不在地主,000156,49181,https://www.aozora.gr.jp/cards/000156/card49181.html,1929,1929,card,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Proletarian,novella,general,canonical,third,magazine,新字新仮名,complete,「中央公論」1929年11月号ほか。外字欠落27件,44523,5180,116.34,0.2934,0.037,22.7,29.9,28.1,1.3,27,0,115,1,56,0,C_口語体
JLIT015,多喜二_党生活者.txt,小林多喜二,こばやし たきじ,M,1903,1933,党生活者,000156,833,https://www.aozora.gr.jp/cards/000156/card833.html,1933,1933,editor,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Proletarian,novella,general,canonical,first,magazine,新字新仮名,complete,初出は「転換時代」の題で『中央公論』1933年4・5月。カードに初出欄なし,42073,4181,99.37,0.2878,0.0326,20.9,35.9,144.7,26.1,0,0,113,0,47,0,C_口語体
JLIT016,多喜二_工場細胞.txt,小林多喜二,こばやし たきじ,M,1903,1933,工場細胞,000156,1466,https://www.aozora.gr.jp/cards/000156/card1466.html,1930,1930,card,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Proletarian,novella,general,canonical,third,magazine,新字新仮名,complete,「改造」1930年4〜6月号。仮名踊り字23件,40424,4783,118.32,0.2863,0.0514,16.1,51.0,32.2,50.0,1,23,101,0,174,13,C_口語体
JLIT017,多喜二_蟹工船.txt,小林多喜二,こばやし たきじ,M,1903,1933,蟹工船,000156,1465,https://www.aozora.gr.jp/cards/000156/card1465.html,1929,1929,card,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Proletarian,novella,general,canonical,third,magazine,新字新仮名,complete,「戦旗」1929年5・6月号,40323,4774,118.39,0.2721,0.0544,29.8,42.4,31.2,6.7,0,0,87,0,20,11,C_口語体
JLIT018,夢野久作_DOGRA.txt,夢野久作,ゆめの きゅうさく,M,1889,1936,ドグラ・マグラ,000096,2093,https://www.aozora.gr.jp/cards/000096/card2093.html,1935,1935,editor,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective,novel,general,middlebrow,first,book,新字新仮名,complete,1935年1月 松柏館書店刊（自費出版）。カードに初出欄なし,266811,17246,64.64,0.3454,0.045,41.9,85.4,61.8,3.6,2,0,634,0,328,2,B_過渡的文体
JLIT019,夢野久作_少女地獄.txt,夢野久作,ゆめの きゅうさく,M,1889,1936,少女地獄,000096,935,https://www.aozora.gr.jp/cards/000096/card935.html,1936,1936,card,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective,collection,general,middlebrow,mixed,book,新字新仮名,complete,「少女地獄」黒白書房1936年3月。3篇の作品集,64806,7109,109.7,0.3192,0.0492,34.9,156.8,108.3,39.2,0,0,80,0,24,0,C_口語体
JLIT020,夢野久作_押絵の奇蹟.txt,夢野久作,ゆめの きゅうさく,M,1889,1936,押絵の奇蹟,000096,930,https://www.aozora.gr.jp/cards/000096/card930.html,1929,1929,card,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective,novella,general,middlebrow,first,magazine,新字新仮名,complete,「新青年」1929年1月。書簡体,36269,4365,120.35,0.2746,0.0227,86.6,175.6,129.0,0.3,0,0,63,0,0,0,B_過渡的文体
JLIT021,太宰_人間失格.txt,太宰治,だざい おさむ,M,1909,1948,人間失格,000035,301,https://www.aozora.gr.jp/cards/000035/card301.html,1948,1948,editor,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,first,magazine,新字新仮名,complete,初出『展望』1948年6〜8月,44964,5408,120.27,0.2553,0.0266,30.9,91.9,181.5,5.1,0,0,25,0,10,0,C_口語体
JLIT022,太宰_斜陽.txt,太宰治,だざい おさむ,M,1909,1948,斜陽,000035,1565,https://www.aozora.gr.jp/cards/000035/card1565.html,1947,1947,editor,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,first,magazine,新字新仮名,complete,初出『新潮』1947年7〜10月,55108,5445,98.81,0.2207,0.021,24.1,124.7,168.4,0.7,0,0,33,0,45,0,C_口語体
JLIT023,室生犀星_蜜のあわれ.txt,室生犀星,むろう さいせい,M,1889,1962,蜜のあわれ,001579,53503,https://www.aozora.gr.jp/cards/001579/card53503.html,1959,1959,card,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Experimental,novella,general,canonical,dialogue,magazine,新字新仮名,complete,「新潮」1959年1〜4月。全篇対話体。v1 の「超現実主義的」を改める,48730,4506,92.47,0.1754,0.0063,14.4,133.4,32.0,3.1,1,0,32,0,0,0,C_口語体
JLIT024,宮本百合子_二つの庭.txt,宮本百合子,みやもと ゆりこ,F,1899,1951,二つの庭,000311,2011,https://www.aozora.gr.jp/cards/000311/card2011.html,1947,1947,card,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,third,magazine,新字新仮名,complete,「中央公論」1947年1・3〜9月号。三部作の第2部,119603,9689,81.01,0.2484,0.022,13.0,60.1,52.0,4.1,0,0,217,0,65,4,C_口語体
JLIT025,宮本百合子_伸子.txt,宮本百合子,みやもと ゆりこ,F,1899,1951,伸子,000311,2015,https://www.aozora.gr.jp/cards/000311/card2015.html,1924,1926,card,4_大正(1912-1925),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,third,magazine,新字新仮名,complete,「改造」1924年9月〜1926年9月。v1 の1927は単行本年,148254,11438,77.15,0.2822,0.0139,18.2,66.5,77.4,68.3,1,0,358,0,185,8,C_口語体
JLIT026,宮本百合子_播州平野.txt,宮本百合子,みやもと ゆりこ,F,1899,1951,播州平野,000311,2013,https://www.aozora.gr.jp/cards/000311/card2013.html,1946,1947,editor,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,first,magazine,新字新仮名,complete,「新日本文学」創刊号（1946年3月）ほか。カードに年次記載なし,65997,7907,119.81,0.2704,0.0163,18.0,51.8,22.0,2.0,0,0,144,0,3,2,C_口語体
JLIT027,宮本百合子_道標.txt,宮本百合子,みやもと ゆりこ,F,1899,1951,道標,000311,2012,https://www.aozora.gr.jp/cards/000311/card2012.html,1947,1950,card,6_昭和戦後(1945-),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,third,magazine,新字新仮名,complete,「展望」1947年10月〜1950年12月。外字欠落86件,490142,21565,44.0,0.2431,0.0756,12.5,105.4,40.6,11.9,86,0,1037,0,184,55,C_口語体
JLIT028,小栗虫太郎_潜航艇「鷹の城」.txt,小栗虫太郎,おぐり むしたろう,M,1901,1946,潜航艇「鷹の城」,000125,43656,https://www.aozora.gr.jp/cards/000125/card43656.html,1935,1935,card,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective,novella,general,middlebrow,first,magazine,新字新仮名,complete,【修正】v1 の1977は底本（現代教養文庫）刊年。初出は「新青年」1935年4〜5月号,39906,5563,139.4,0.2653,0.0523,18.0,108.8,28.6,19.8,0,0,67,0,452,8,C_口語体
JLIT029,小栗虫太郎_白蟻.txt,小栗虫太郎,おぐり むしたろう,M,1901,1946,白蟻,000125,666,https://www.aozora.gr.jp/cards/000125/card666.html,1935,1935,editor,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective,novella,general,middlebrow,first,magazine,新字新仮名,complete,「新青年」1935年。カードに初出欄なし,34013,4710,138.48,0.2598,0.0056,16.8,122.9,53.2,19.1,0,0,39,0,1,1,C_口語体
JLIT030,小栗虫太郎_黒死館.txt,小栗虫太郎,おぐり むしたろう,M,1901,1946,黒死館殺人事件,000125,1317,https://www.aozora.gr.jp/cards/000125/card1317.html,1934,1934,card,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Detective,novel,general,middlebrow,first,magazine,新字新仮名,complete,「新青年」1934年4〜12月号。外字欠落19件、ラテン文字1098字,186895,13484,72.15,0.3129,0.0401,18.9,101.3,29.6,14.1,19,0,218,0,1098,12,C_口語体
JLIT031,岡本かの子_仏教人生読本.txt,岡本かの子,おかもと かのこ,F,1889,1939,仏教人生読本,000076,52342,https://www.aozora.gr.jp/cards/000076/card52342.html,1934,1934,editor,5_昭和戦前(1926-1944),180,仏教（総記）,Nonfiction,Religious-Didactic,treatise,general,middlebrow,none,book,新字新仮名,complete,【修正】NDC 180（仏教）。v1 の「自己啓発？/Essay?」を改める,76541,8417,109.97,0.3275,0.0067,43.4,262.2,44.6,3.9,4,0,164,0,22,0,B_過渡的文体
JLIT032,岡本かの子_母子叙情.txt,岡本かの子,おかもと かのこ,F,1889,1939,母子叙情,000076,1282,https://www.aozora.gr.jp/cards/000076/card1282.html,1937,1937,card,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Modern,novella,general,canonical,third,magazine,新字新仮名,complete,「文学界」1937年3月号,48465,6657,137.36,0.3026,0.0284,18.0,96.8,59.0,15.9,3,0,100,0,68,0,C_口語体
JLIT033,岡本かの子_生々流転.txt,岡本かの子,おかもと かのこ,F,1889,1939,生々流転,000076,45641,https://www.aozora.gr.jp/cards/000076/card45641.html,1939,1940,editor,5_昭和戦前(1926-1944),913,日本文学／小説・物語,Fiction,Modern,novel,general,canonical,first,magazine,新字新仮名,incomplete,作者急逝により未完。仮名踊り字191件・外字欠落20件,186608,15928,85.36,0.2969,0.0101,27.9,132.5,143.2,8.8,20,191,238,0,91,0,C_口語体
